,Birmingham AL,Anchorage AK,Phoenix AZ,Little Rock AR,Los Angeles CA,Denver CO,Bridgeport CT,Wilmington DW,Washington D.C.,Jacksonville FL,Atlanta GA,Honolulu HI,Boise ID,Chicago IL,Indianapolis IN,Des Moines IA,Wichita KS,Louisville KY,New Orleans LA,Portland ME,Baltimore MD,Boston MA,Detroit MI,Minneapolis MN,Jackson MS,Kansas City MO,Billings MT,Omaha NE,Las Vegas NV,Manchester NH,Newark NJ,Albuquerque NM,New York City NY,Charlotte NC,Fargo ND,Columbus OH,Oklahoma City OK,Portland OR,Philadelphia PA,Providence RI,Charleston SC,Sioux Falls SD,Nashville TN,Houston TX,Salt Lake City UT,Burlington VT,Virginia Beach VA,Seattle WA,Charleston WV,Milwaukee WI,Cheyenne WY
Philadelphia PA,881,-1,-1,-1,-1,-1,155,32.1,139,850,784,-1,-1,760,643,-1,-1,673,-1,405,101,307,584,-1,-1,-1,-1,-1,-1,344,85.7,-1,93.9,545,-1,469,-1,-1,0,274,676,-1,804,-1,-1,380,276,-1,466,850,-1
Providence RI,-1,-1,-1,-1,-1,-1,119,305,405,-1,-1,-1,-1,968,912,-1,-1,945,-1,163,367,50.2,701,-1,-1,-1,-1,-1,-1,104,191,-1,181,811,-1,738,-1,-1,274,0,942,-1,-1,-1,-1,265,542,-1,718,-1,-1
Charleston SC,446,-1,-1,827,-1,-1,819,641,532,239,299,-1,-1,910,727,-1,-1,617,764,-1,577,971,836,-1,680,-1,-1,-1,-1,-1,750,-1,758,209,-1,633,-1,-1,672,938,0,-1,551,-1,-1,-1,455,-1,472,-1,-1
Sioux Falls SD,-1,-1,-1,792,-1,622,-1,-1,-1,-1,-1,-1,-1,574,743,283,483,854,-1,-1,-1,-1,859,238,-1,363,661,181,-1,-1,-1,-1,-1,-1,243,914,637,-1,-1,-1,-1,0,917,-1,-1,-1,-1,-1,-1,502,541
Nashville TN,191,-1,-1,349,-1,-1,955,773,666,593,248,-1,-1,471,288,659,677,176,533,-1,704,-1,533,886,415,555,-1,739,-1,-1,875,-1,886,409,-1,378,678,-1,805,-1,551,917,0,779,-1,-1,719,-1,390,568,-1
Houston TX,667,-1,-1,434,-1,-1,-1,-1,-1,870,793,-1,-1,-1,-1,934,602,951,348,-1,-1,-1,-1,-1,441,745,-1,896,-1,-1,-1,884,-1,-1,-1,-1,445,-1,-1,-1,-1,-1,779,0,-1,-1,-1,-1,-1,-1,-1
Salt Lake City UT,-1,-1,663,-1,693,519,-1,-1,-1,-1,-1,-1,339,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,550,935,421,-1,-1,598,-1,-1,-1,-1,-1,766,-1,-1,-1,-1,-1,-1,0,-1,-1,840,-1,-1,440
Burlington VT,-1,-1,-1,-1,-1,-1,288,412,512,-1,-1,-1,-1,900,866,-1,-1,899,-1,257,474,216,648,-1,-1,-1,-1,-1,-1,166,296,-1,298,915,-1,692,-1,-1,381,264,-1,-1,-1,-1,-1,0,649,-1,802,990,-1
Virginia Beach VA,730,-1,-1,-1,-1,-1,426,248,208,630,583,-1,-1,898,732,-1,-1,669,-1,677,254,578,723,-1,964,-1,-1,-1,-1,615,357,-1,365,344,-1,583,-1,-1,279,545,456,-1,720,-1,-1,651,0,-1,422,989,-1
Seattle WA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,174,-1,-1,-1,-1,-1,-1,830,-1,-1,0,-1,-1,-1
Charleston WV,565,-1,-1,734,-1,-1,601,435,338,646,500,-1,-1,490,311,784,945,247,908,851,365,752,365,901,801,752,-1,917,-1,790,521,-1,532,264,-1,162,-1,-1,466,720,471,-1,389,-1,-1,803,422,-1,0,588,-1
Milwaukee WI,758,-1,-1,718,-1,-1,940,842,787,-1,812,-1,-1,92.6,279,374,762,394,-1,-1,794,-1,382,337,831,565,-1,507,-1,-1,871,-1,880,851,571,453,870,-1,850,-1,-1,502,567,-1,-1,990,990,-1,587,0,-1
Cheyenne WY,-1,-1,964,-1,-1,100,-1,-1,-1,-1,-1,-1,735,961,-1,628,610,-1,-1,-1,-1,-1,-1,809,-1,639,455,497,853,-1,-1,548,-1,-1,810,-1,769,-1,-1,-1,-1,580,-1,-1,439,-1,-1,-1,-1,-1,0
